filed_date,transaction_date,ticker,company,insider_name,insider_title,transaction_code,transaction_type,shares,price,value,acquired_disposed,accession_no
2026-08-07,2026-08-05,SE,Sea Ltd,Wang Yanjun,CCO and GC,S,Open-market sell,369.0,111.95,41309.55,D,000119312526339004
2026-08-07,2026-08-05,SE,Sea Ltd,Wang Yanjun,CCO and GC,S,Open-market sell,638.0,113.34,72310.92,D,000119312526339004
2026-08-07,2026-08-05,SE,Sea Ltd,Wang Yanjun,CCO and GC,S,Open-market sell,466.0,114.13,53184.58,D,000119312526339004
2026-08-07,2026-08-05,SE,Sea Ltd,Wang Yanjun,CCO and GC,S,Open-market sell,27.0,114.75,3098.25,D,000119312526339004
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,1092.0,361.89,395183.88,D,000119312526338763
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,5909.0,362.38,2141303.42,D,000119312526338763
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,3419.0,363.56,1243011.64,D,000119312526338763
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,3501.0,364.2,1275064.2,D,000119312526338763
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,1061.0,365.67,387975.87,D,000119312526338763
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,50.0,366.65,18332.5,D,000119312526338763
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,1070.0,367.76,393503.2,D,000119312526338763
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,4358.0,368.57,1606228.06,D,000119312526338763
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,13414.0,369.47,4956070.58,D,000119312526338763
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,6674.0,370.45,2472383.3,D,000119312526338763
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,4876.0,371.45,1811190.2,D,000119312526338763
