date,cash_$,invested_$,equity_$,open_positions,deposited_$
2023-06-06,5895.49,14817.37,20712.86,5,6400.0
2023-06-07,9050.86,11948.85,20999.71,4,6400.0
2023-06-08,9050.86,11948.85,20999.71,4,6400.0
2023-06-09,9050.86,11948.85,20999.71,4,6400.0
2023-06-10,9050.86,11948.85,20999.71,4,6400.0
2023-06-11,9050.86,11948.85,20999.71,4,6400.0
2023-06-12,9050.86,11948.85,20999.71,4,6400.0
2023-06-13,9050.86,11948.85,20999.71,4,6400.0
2023-06-14,9050.86,11948.85,20999.71,4,6400.0
2023-06-15,9050.86,11948.85,20999.71,4,6400.0
2023-06-16,11377.65,9833.59,21211.24,3,6400.0
2023-06-17,11377.65,9833.59,21211.24,3,6400.0
2023-06-18,11377.65,9833.59,21211.24,3,6400.0
2023-06-19,11377.65,9833.59,21211.24,3,6400.0
2023-06-20,11377.65,9833.59,21211.24,3,6400.0
2023-06-21,8195.96,13015.28,21211.24,4,6400.0
2023-06-22,8195.96,13015.28,21211.24,4,6400.0
2023-06-23,3731.51,17486.52,21218.04,5,6400.0
2023-06-24,3731.51,17486.52,21218.04,5,6400.0
2023-06-25,3731.51,17486.52,21218.04,5,6400.0
2023-06-26,4071.0,17571.4,21642.4,5,6400.0
2023-06-27,0.0,21642.4,21642.4,6,6400.0
2023-06-28,68.2,21981.29,22049.5,6,6400.0
2023-06-29,68.2,21981.29,22049.5,6,6400.0
2023-06-30,0.0,22049.5,22049.5,7,6400.0
2023-07-01,200.0,22049.5,22249.5,7,6600.0
2023-07-02,200.0,22049.5,22249.5,7,6600.0
2023-07-03,200.0,22049.5,22249.5,7,6600.0
2023-07-04,200.0,22049.5,22249.5,7,6600.0
2023-07-05,200.0,22049.5,22249.5,7,6600.0
2023-07-06,200.0,22049.5,22249.5,7,6600.0
2023-07-07,200.0,22049.5,22249.5,7,6600.0
2023-07-08,200.0,22049.5,22249.5,7,6600.0
2023-07-09,200.0,22049.5,22249.5,7,6600.0
2023-07-10,200.0,22049.5,22249.5,7,6600.0
2023-07-11,2609.84,19951.02,22560.86,5,6600.0
2023-07-12,2609.84,19951.02,22560.86,5,6600.0
2023-07-13,2609.84,19951.02,22560.86,5,6600.0
2023-07-14,2609.84,19951.02,22560.86,5,6600.0
2023-07-15,2609.84,19951.02,22560.86,5,6600.0
2023-07-16,2609.84,19951.02,22560.86,5,6600.0
2023-07-17,7371.16,15622.54,22993.71,4,6600.0
2023-07-18,7371.16,15622.54,22993.71,4,6600.0
2023-07-19,7371.16,15622.54,22993.71,4,6600.0
2023-07-20,7371.16,15622.54,22993.71,4,6600.0
2023-07-21,13713.07,9258.15,22971.22,2,6600.0
2023-07-22,13713.07,9258.15,22971.22,2,6600.0
2023-07-23,13713.07,9258.15,22971.22,2,6600.0
2023-07-24,13713.07,9258.15,22971.22,2,6600.0
2023-07-25,4524.58,18446.64,22971.22,4,6600.0
2023-07-26,15153.74,9004.14,24157.88,2,6600.0
2023-07-27,15153.74,9004.14,24157.88,2,6600.0
2023-07-28,19715.34,4594.24,24309.58,1,6600.0
2023-07-29,19715.34,4594.24,24309.58,1,6600.0
2023-07-30,19715.34,4594.24,24309.58,1,6600.0
2023-07-31,19815.2,4953.8,24769.01,1,6600.0
2023-08-01,20015.2,4953.8,24969.01,1,6800.0
2023-08-02,20015.2,4953.8,24969.01,1,6800.0
2023-08-03,20015.2,4953.8,24969.01,1,6800.0
2023-08-04,20015.2,4953.8,24969.01,1,6800.0
2023-08-05,20015.2,4953.8,24969.01,1,6800.0
2023-08-06,20015.2,4953.8,24969.01,1,6800.0
2023-08-07,20015.2,4953.8,24969.01,1,6800.0
2023-08-08,20015.2,4953.8,24969.01,1,6800.0
2023-08-09,20015.2,4953.8,24969.01,1,6800.0
2023-08-10,20015.2,4953.8,24969.01,1,6800.0
2023-08-11,20015.2,4953.8,24969.01,1,6800.0
2023-08-12,20015.2,4953.8,24969.01,1,6800.0
2023-08-13,20015.2,4953.8,24969.01,1,6800.0
2023-08-14,20015.2,4953.8,24969.01,1,6800.0
2023-08-15,20015.2,4953.8,24969.01,1,6800.0
2023-08-16,20015.2,4953.8,24969.01,1,6800.0
2023-08-17,20015.2,4953.8,24969.01,1,6800.0
2023-08-18,20015.2,4953.8,24969.01,1,6800.0
2023-08-19,20015.2,4953.8,24969.01,1,6800.0
2023-08-20,20015.2,4953.8,24969.01,1,6800.0
2023-08-21,20015.2,4953.8,24969.01,1,6800.0
2023-08-22,20015.2,4953.8,24969.01,1,6800.0
2023-08-23,25464.39,0.0,25464.39,0,6800.0
2023-08-24,20371.51,5092.88,25464.39,1,6800.0
2023-08-25,22077.62,3896.05,25973.67,1,6800.0
2023-08-26,22077.62,3896.05,25973.67,1,6800.0
2023-08-27,22077.62,3896.05,25973.67,1,6800.0
2023-08-28,16882.89,9090.79,25973.67,2,6800.0
2023-08-29,22597.1,3896.05,26493.15,1,6800.0
2023-08-30,0.0,26493.15,26493.15,6,6800.0
2023-08-31,0.0,27023.01,27023.01,7,6800.0
2023-09-01,6145.06,21618.41,27763.47,6,7000.0
2023-09-02,6145.06,21618.41,27763.47,6,7000.0
2023-09-03,6145.06,21618.41,27763.47,6,7000.0
2023-09-04,6145.06,21618.41,27763.47,6,7000.0
2023-09-05,6611.34,21194.52,27805.86,5,7000.0
2023-09-06,6611.34,21194.52,27805.86,5,7000.0
2023-09-07,6611.34,21194.52,27805.86,5,7000.0
2023-09-08,6611.34,21194.52,27805.86,5,7000.0
2023-09-09,6611.34,21194.52,27805.86,5,7000.0
2023-09-10,6611.34,21194.52,27805.86,5,7000.0
2023-09-11,6611.34,21194.52,27805.86,5,7000.0
2023-09-12,6611.34,21194.52,27805.86,5,7000.0
2023-09-13,6611.34,21194.52,27805.86,5,7000.0
2023-09-14,6611.34,21194.52,27805.86,5,7000.0
2023-09-15,6611.34,21194.52,27805.86,5,7000.0
2023-09-16,6611.34,21194.52,27805.86,5,7000.0
2023-09-17,6611.34,21194.52,27805.86,5,7000.0
2023-09-18,6611.34,21194.52,27805.86,5,7000.0
2023-09-19,1050.17,26755.69,27805.86,6,7000.0
2023-09-20,1050.17,26755.69,27805.86,6,7000.0
2023-09-21,0.0,27805.86,27805.86,7,7000.0
2023-09-22,0.0,27805.86,27805.86,7,7000.0
2023-09-23,0.0,27805.86,27805.86,7,7000.0
2023-09-24,0.0,27805.86,27805.86,7,7000.0
2023-09-25,0.0,27713.52,27713.52,7,7000.0
2023-09-26,0.0,27713.52,27713.52,7,7000.0
2023-09-27,0.0,28093.89,28093.89,7,7000.0
2023-09-28,0.0,28512.3,28512.3,7,7000.0
2023-09-29,12302.01,16404.55,28706.56,4,7000.0
2023-09-30,12302.01,16404.55,28706.56,4,7000.0
2023-10-01,12502.01,16404.55,28906.56,4,7200.0
2023-10-02,12502.01,16404.55,28906.56,4,7200.0
2023-10-03,12502.01,16404.55,28906.56,4,7200.0
2023-10-04,12502.01,16404.55,28906.56,4,7200.0
2023-10-05,12502.01,16404.55,28906.56,4,7200.0
2023-10-06,12502.01,16404.55,28906.56,4,7200.0
2023-10-07,12502.01,16404.55,28906.56,4,7200.0
2023-10-08,12502.01,16404.55,28906.56,4,7200.0
2023-10-09,12502.01,16404.55,28906.56,4,7200.0
2023-10-10,12502.01,16404.55,28906.56,4,7200.0
2023-10-11,12502.01,16404.55,28906.56,4,7200.0
2023-10-12,12502.01,16404.55,28906.56,4,7200.0
2023-10-13,12502.01,16404.55,28906.56,4,7200.0
2023-10-14,12502.01,16404.55,28906.56,4,7200.0
2023-10-15,12502.01,16404.55,28906.56,4,7200.0
2023-10-16,12502.01,16404.55,28906.56,4,7200.0
2023-10-17,12502.01,16404.55,28906.56,4,7200.0
2023-10-18,12502.01,16404.55,28906.56,4,7200.0
2023-10-19,5910.97,22012.94,27923.9,5,7200.0
2023-10-20,5910.97,22012.94,27923.9,5,7200.0
2023-10-21,5910.97,22012.94,27923.9,5,7200.0
2023-10-22,5910.97,22012.94,27923.9,5,7200.0
2023-10-23,1274.53,26522.09,27796.62,5,7200.0
2023-10-24,1274.53,26522.09,27796.62,5,7200.0
2023-10-25,0.0,27796.62,27796.62,6,7200.0
2023-10-26,0.0,27796.62,27796.62,6,7200.0
2023-10-27,0.0,27796.62,27796.62,6,7200.0
2023-10-28,0.0,27796.62,27796.62,6,7200.0
2023-10-29,0.0,27796.62,27796.62,6,7200.0
