ticker,rating,entry_date,exit_date,invested_$,pnl_%,pnl_$,tp_hit,days_held
STAG,A,2011-12-23,2012-01-23,8384.2,2.59,217.15,False,31
FULT,B,2012-01-31,2012-03-01,6354.04,4.78,303.72,False,30
VRNM,B+,2012-03-28,2012-03-29,7320.88,10.0,732.09,True,1
ATO,B+,2012-02-28,2012-03-30,7235.25,0.45,32.56,False,30
KBH,B,2012-03-29,2012-04-30,6569.41,-5.86,-384.97,False,32
VRA,A,2012-03-29,2012-04-30,8759.22,-12.23,-1071.25,False,32
IDCC,A+,2012-01-26,2012-05-29,10590.07,-30.12,-3189.73,False,123
FIZZ,B,2012-04-26,2012-05-29,6604.3,-1.86,-122.84,False,33
AN,B+,2012-04-27,2012-05-29,7484.87,6.52,488.01,False,32
RMBS,B,2012-04-27,2012-05-29,4020.78,-2.1,-84.44,False,32
ALKS,B,2012-04-30,2012-05-30,6385.86,-10.48,-669.24,False,30
WSO,A,2012-04-30,2012-05-30,7486.55,-1.92,-143.74,False,30
CPNO,B,2012-05-29,2012-06-28,5979.52,-2.16,-129.16,False,30
PSSI,B,2012-05-29,2012-06-28,5979.52,2.89,172.81,False,30
HAFC,B+,2012-05-30,2012-06-29,6638.58,10.0,663.86,True,30
HPQ,A,2012-05-30,2012-06-29,7810.09,-10.86,-848.18,False,30
SLB,B+,2012-06-27,2012-07-03,6672.58,10.0,667.26,True,6
VRA,B,2012-06-21,2012-07-23,5887.57,-15.3,-900.8,False,32
FHN,B,2012-07-26,2012-08-27,5861.44,6.17,361.65,False,32
TDY,B,2012-07-30,2012-08-29,5861.44,2.11,123.68,False,30
T,A,2012-07-31,2012-08-30,7815.25,-1.64,-128.17,False,30
TSN,B,2012-08-28,2012-09-12,5945.68,10.0,594.57,True,15
BKH,B+,2012-08-28,2012-09-27,6738.44,4.14,278.97,False,30
CHH,A,2012-08-28,2012-09-27,7927.58,-0.06,-4.76,False,30
ACRE,A,2012-08-31,2012-10-01,7926.68,2.03,160.91,False,31
BBRG,B+,2012-10-31,2012-11-02,6980.73,10.0,698.07,True,2
BSET,B+,2012-10-23,2012-11-05,6980.73,10.0,698.07,True,13
BLK,A,2012-10-25,2012-11-26,8212.62,2.99,245.56,False,32
AGCO,A,2012-10-31,2012-11-30,8212.62,0.76,62.42,False,30
FTI,A,2012-10-31,2012-11-30,8212.62,0.2,16.43,False,30
PACB,B+,2012-11-29,2012-12-03,7293.82,10.0,729.38,True,4
HEI,A+,2012-10-31,2012-12-20,2463.79,15.0,369.57,True,50
AGCO,A,2012-11-30,2012-12-31,8596.73,5.43,466.8,False,31
